config,train_orders,train_max_order,test_order,is_ood,seed,correct,wrong,timeout,calls,n,accuracy,calls_per_solve
e4_all,"4,5,6,7,8",8,4,0,0,39,0,0,39,39,1.0,1.0
e4_all,"4,5,6,7,8",8,4,0,1,39,0,0,39,39,1.0,1.0
e4_all,"4,5,6,7,8",8,4,0,2,39,0,0,39,39,1.0,1.0
e4_all,"4,5,6,7,8",8,4,0,mean,117,0,0,117,117,1.0,1.0
e4_all,"4,5,6,7,8",8,4,0,min,117,0,0,117,117,1.0,1.0
e4_all,"4,5,6,7,8",8,4,0,max,117,0,0,117,117,1.0,1.0
e4_all,"4,5,6,7,8",8,5,0,0,30,0,0,30,30,1.0,1.0
e4_all,"4,5,6,7,8",8,5,0,1,30,0,0,30,30,1.0,1.0
e4_all,"4,5,6,7,8",8,5,0,2,30,0,0,30,30,1.0,1.0
e4_all,"4,5,6,7,8",8,5,0,mean,90,0,0,90,90,1.0,1.0
e4_all,"4,5,6,7,8",8,5,0,min,90,0,0,90,90,1.0,1.0
e4_all,"4,5,6,7,8",8,5,0,max,90,0,0,90,90,1.0,1.0
e4_all,"4,5,6,7,8",8,6,0,0,49,0,0,49,49,1.0,1.0
e4_all,"4,5,6,7,8",8,6,0,1,49,0,0,49,49,1.0,1.0
e4_all,"4,5,6,7,8",8,6,0,2,49,0,0,49,49,1.0,1.0
e4_all,"4,5,6,7,8",8,6,0,mean,147,0,0,147,147,1.0,1.0
e4_all,"4,5,6,7,8",8,6,0,min,147,0,0,147,147,1.0,1.0
e4_all,"4,5,6,7,8",8,6,0,max,147,0,0,147,147,1.0,1.0
e4_all,"4,5,6,7,8",8,7,0,0,51,0,0,51,51,1.0,1.0
e4_all,"4,5,6,7,8",8,7,0,1,51,0,0,51,51,1.0,1.0
e4_all,"4,5,6,7,8",8,7,0,2,51,0,0,51,51,1.0,1.0
e4_all,"4,5,6,7,8",8,7,0,mean,153,0,0,153,153,1.0,1.0
e4_all,"4,5,6,7,8",8,7,0,min,153,0,0,153,153,1.0,1.0
e4_all,"4,5,6,7,8",8,7,0,max,153,0,0,153,153,1.0,1.0
e4_all,"4,5,6,7,8",8,8,0,0,31,0,0,31,31,1.0,1.0
e4_all,"4,5,6,7,8",8,8,0,1,31,0,0,31,31,1.0,1.0
e4_all,"4,5,6,7,8",8,8,0,2,31,0,0,31,31,1.0,1.0
e4_all,"4,5,6,7,8",8,8,0,mean,93,0,0,93,93,1.0,1.0
e4_all,"4,5,6,7,8",8,8,0,min,93,0,0,93,93,1.0,1.0
e4_all,"4,5,6,7,8",8,8,0,max,93,0,0,93,93,1.0,1.0
e4_leq5,"4,5",5,6,1,0,0,0,61,61000,61,0.0,0.0
e4_leq5,"4,5",5,6,1,1,0,0,61,61000,61,0.0,0.0
e4_leq5,"4,5",5,6,1,2,0,0,61,61000,61,0.0,0.0
e4_leq5,"4,5",5,6,1,mean,0,0,183,183000,183,0.0,0.0
e4_leq5,"4,5",5,6,1,min,0,0,183,183000,183,0.0,0.0
e4_leq5,"4,5",5,6,1,max,0,0,183,183000,183,0.0,0.0
e4_leq5,"4,5",5,7,1,0,0,0,77,77000,77,0.0,0.0
e4_leq5,"4,5",5,7,1,1,0,0,77,77000,77,0.0,0.0
e4_leq5,"4,5",5,7,1,2,0,0,77,77000,77,0.0,0.0
e4_leq5,"4,5",5,7,1,mean,0,0,231,231000,231,0.0,0.0
e4_leq5,"4,5",5,7,1,min,0,0,231,231000,231,0.0,0.0
e4_leq5,"4,5",5,7,1,max,0,0,231,231000,231,0.0,0.0
e4_leq5,"4,5",5,8,1,0,0,0,62,62000,62,0.0,0.0
e4_leq5,"4,5",5,8,1,1,0,0,62,62000,62,0.0,0.0
e4_leq5,"4,5",5,8,1,2,0,0,62,62000,62,0.0,0.0
e4_leq5,"4,5",5,8,1,mean,0,0,186,186000,186,0.0,0.0
e4_leq5,"4,5",5,8,1,min,0,0,186,186000,186,0.0,0.0
e4_leq5,"4,5",5,8,1,max,0,0,186,186000,186,0.0,0.0
e4_leq6,"4,5,6",6,7,1,0,0,0,99,99000,99,0.0,0.0
e4_leq6,"4,5,6",6,7,1,1,0,0,99,99000,99,0.0,0.0
e4_leq6,"4,5,6",6,7,1,2,0,0,99,99000,99,0.0,0.0
e4_leq6,"4,5,6",6,7,1,mean,0,0,297,297000,297,0.0,0.0
e4_leq6,"4,5,6",6,7,1,min,0,0,297,297000,297,0.0,0.0
e4_leq6,"4,5,6",6,7,1,max,0,0,297,297000,297,0.0,0.0
e4_leq6,"4,5,6",6,8,1,0,0,0,101,101000,101,0.0,0.0
e4_leq6,"4,5,6",6,8,1,1,0,0,101,101000,101,0.0,0.0
e4_leq6,"4,5,6",6,8,1,2,0,0,101,101000,101,0.0,0.0
e4_leq6,"4,5,6",6,8,1,mean,0,0,303,303000,303,0.0,0.0
e4_leq6,"4,5,6",6,8,1,min,0,0,303,303000,303,0.0,0.0
e4_leq6,"4,5,6",6,8,1,max,0,0,303,303000,303,0.0,0.0
e4_leq5_rope,"4,5",5,6,1,0,0,0,61,61000,61,0.0,0.0
e4_leq5_rope,"4,5",5,6,1,1,0,0,61,61000,61,0.0,0.0
e4_leq5_rope,"4,5",5,6,1,2,0,0,61,61000,61,0.0,0.0
e4_leq5_rope,"4,5",5,6,1,mean,0,0,183,183000,183,0.0,0.0
e4_leq5_rope,"4,5",5,6,1,min,0,0,183,183000,183,0.0,0.0
e4_leq5_rope,"4,5",5,6,1,max,0,0,183,183000,183,0.0,0.0
e4_leq5_rope,"4,5",5,7,1,0,0,0,77,77000,77,0.0,0.0
e4_leq5_rope,"4,5",5,7,1,1,0,0,77,77000,77,0.0,0.0
e4_leq5_rope,"4,5",5,7,1,2,0,0,77,77000,77,0.0,0.0
e4_leq5_rope,"4,5",5,7,1,mean,0,0,231,231000,231,0.0,0.0
e4_leq5_rope,"4,5",5,7,1,min,0,0,231,231000,231,0.0,0.0
e4_leq5_rope,"4,5",5,7,1,max,0,0,231,231000,231,0.0,0.0
e4_leq5_rope,"4,5",5,8,1,0,0,0,62,62000,62,0.0,0.0
e4_leq5_rope,"4,5",5,8,1,1,0,0,62,62000,62,0.0,0.0
e4_leq5_rope,"4,5",5,8,1,2,0,0,62,62000,62,0.0,0.0
e4_leq5_rope,"4,5",5,8,1,mean,0,0,186,186000,186,0.0,0.0
e4_leq5_rope,"4,5",5,8,1,min,0,0,186,186000,186,0.0,0.0
e4_leq5_rope,"4,5",5,8,1,max,0,0,186,186000,186,0.0,0.0
